iter	RMSE
256	5.142551832
257	5.140189175
258	5.139251106
259	5.137614222
260	5.1345596
261	5.132966836
262	5.128598797
263	5.12654172
264	5.12317247
265	5.121417823
266	5.119292224
267	5.116616282
268	5.114229699
269	5.113909289
270	5.11238878
271	5.108124396
272	5.106365623
273	5.104175788
274	5.101706787
275	5.100309029
276	5.099721989
277	5.096408749
278	5.094345108
279	5.091449329
280	5.089527751
281	5.087676667
282	5.085027131
283	5.083846253
284	5.082570255
285	5.081523316
286	5.07890388
287	5.076835705
288	5.073964322
289	5.070780198
290	5.069803525
291	5.067872152
292	5.065452528
293	5.063619246
294	5.060525346
295	5.058748045
296	5.05737137
297	5.055853832
298	5.054377327
299	5.05340779
300	5.051031035
301	5.049174076
302	5.047123532
303	5.046258436
304	5.045538091
305	5.044262412
306	5.043673836
307	5.043456105
308	5.042708434
309	5.040080602
310	5.03925054
311	5.037642399
312	5.036538216
313	5.034948504
314	5.034846848
315	5.032400959
316	5.032106261
317	5.030230325
318	5.027460523
319	5.02579236
320	5.024245994
321	5.023022294
322	5.021403672
323	5.021282063
324	5.020353282
325	5.0193616
326	5.018559483
327	5.016606247
328	5.01628608
329	5.015463845
330	5.014403946
331	5.011801642
332	5.011568547
333	5.010851127
334	5.010754088
335	5.010653659
336	5.008695931
337	5.008568318
338	5.006252706
339	5.006090673
340	5.004988727
341	5.003536335
342	5.001919856
343	5.001772298
344	5.000507946
345	4.999335277
346	4.999135503
347	4.997876744
348	4.997170341
349	4.994655078
350	4.993409942
351	4.990728771
352	4.988960554
353	4.984934574
354	4.983374212
355	4.982431925
356	4.982229018
357	4.981406346
358	4.978661483
359	4.978413899
360	4.978013687
361	4.977776459
362	4.975652816
363	4.974732341
364	4.973022884
365	4.972842184
366	4.972351306
367	4.972178102
368	4.970632948
369	4.970389105
370	4.967765307
371	4.964489835
372	4.964333139
373	4.963210396
374	4.962541664
375	4.961555072
376	4.960004333
377	4.959060726
378	4.95890307
379	4.958673014
380	4.956338663
381	4.952742046
382	4.95237493
383	4.950307528
384	4.947325076
385	4.946419884
386	4.946282374
387	4.944565716
388	4.944343201
389	4.94427127
390	4.943702396
391	4.943637049
392	4.941274485
393	4.941070266
394	4.93787474
395	4.936291077
396	4.934023524
397	4.933960974
398	4.933359744
399	4.932811384
400	4.931205795
401	4.931144602
402	4.931082296
403	4.930106307
404	4.92695499
405	4.923350886
406	4.922439732
407	4.918680531
408	4.918486313
409	4.916242582
410	4.916184029
411	4.915170161
412	4.914989644
413	4.91281491
414	4.908967924
415	4.908907587
416	4.907326969
417	4.90674435
418	4.903316115
419	4.901417134
420	4.898247945
421	4.896357266
422	4.896229426
423	4.896173019
424	4.896118914
425	4.896017672
426	4.89512681
427	4.894286701
428	4.89252158
429	4.892348039
430	4.892163215
431	4.892109067
432	4.888724196
433	4.887019061
434	4.884608696
435	4.884559553
436	4.884462417
437	4.88094436
438	4.88088739
439	4.880834563
440	4.880784647
441	4.87996892
442	4.879807502
443	4.878211565
444	4.878054585
445	4.87791865
446	4.877874288
447	4.8774533
448	4.877302502
449	4.874675627
450	4.874522359
451	4.874482984
452	4.871018698
453	4.870145483
454	4.869978785
455	4.869942499
456	4.866778291
457	4.865924431
458	4.864992895
459	4.864951824
460	4.864809338
461	4.862989071
462	4.862826619
463	4.861204504
464	4.859027354
465	4.858886244
466	4.857552188
467	4.855692915
468	4.85401261
469	4.85161929
470	4.851229182
471	4.848856887
472	4.84468451
473	4.844211705
474	4.840534966
475	4.837662052
476	4.837510742
477	4.834209121
478	4.833475264
479	4.83198253
480	4.831847887
481	4.831717138
482	4.828703563
483	4.827212542
484	4.826023664
485	4.824937495
486	4.823679946
487	4.820728668
488	4.818251032
489	4.816965155
490	4.815691915
491	4.812547157
492	4.812249045
493	4.812119062
494	4.812083595
495	4.81198709
496	4.809544246
497	4.807926051
498	4.807106186
499	4.806482111
500	4.805424364
501	4.805330647
502	4.804183307
503	4.80248864
504	4.799870068
505	4.799034199
506	4.797200218
507	4.79640168
508	4.796346868
509	4.795540531
510	4.795511542
511	4.795399941
512	4.792714227
513	4.790461976
514	4.789216284
515	4.789186885
516	4.787449633
517	4.78562432
518	4.785308332
519	4.782990445
520	4.78024398
521	4.777508722
522	4.777401428
523	4.777003604
524	4.776980843
525	4.77473132
526	4.773793053
527	4.772029761
528	4.769046097
529	4.766858794
530	4.766082049
531	4.76524035
532	4.761837249
533	4.76172367
534	4.759267469
535	4.75923865
536	4.759031568
537	4.756772133
538	4.753766466
539	4.753358344
540	4.749982165
541	4.748055939
542	4.745965164
543	4.745708043
544	4.742854298
545	4.741586144
546	4.741485782
547	4.739765598
548	4.736592218
549	4.734454038
550	4.73362375
551	4.733595337
552	4.732337405
553	4.731163287
554	4.730759931
555	4.729110284
556	4.728226409
557	4.728127826
558	4.726922795
559	4.726770335
560	4.726707603
561	4.726687194
562	4.726636875
563	4.725380353
564	4.724545524
565	4.724495499
566	4.72439161
567	4.721699358
568	4.719533908
569	4.718050826
570	4.717892745
571	4.716192137
572	4.713905106
573	4.713826081
574	4.711829303
575	4.709465568
576	4.707076305
577	4.706243804
578	4.703988321
579	4.702769424
580	4.700040504
581	4.698071627
582	4.69729491
583	4.697257819
584	4.695280345
585	4.694477986
586	4.69132296
587	4.688916416
588	4.686133649
589	4.684269725
590	4.68304613
591	4.681192445
592	4.679487174
593	4.679388886
594	4.678734263
595	4.676275666
596	4.673803104
597	4.672517714
598	4.671497336
599	4.670774603
600	4.669045998
601	4.668387628
602	4.666059045
603	4.665142963
604	4.663728462
605	4.663628883
606	4.662625623
607	4.66142712
608	4.659596143
609	4.658739063
610	4.658512168
611	4.65566625
612	4.6542481
613	4.651386399
614	4.650152984
615	4.648877719
616	4.648294412
617	4.646550658
618	4.645426329
619	4.643920461
620	4.643824415
621	4.642025894
622	4.640396953
623	4.638360418
624	4.638263782
625	4.636236829
626	4.636218352
627	4.635365258
628	4.63291002
629	4.632799467
630	4.630933519
631	4.628604564
632	4.625815971
633	4.625719935
634	4.624089927
635	4.623516578
636	4.621053555
637	4.620343066
638	4.619139228
639	4.616530815
640	4.614792201
641	4.613876963
642	4.613801981
643	4.611751532
644	4.610926227
645	4.609829834
646	4.609811812
647	4.608243886
648	4.606912077
649	4.604835288
650	4.602609378
651	4.6019445
652	4.599984351
653	4.59842141
654	4.598200695
655	4.596712182
656	4.595702149
657	4.593933058
658	4.593317288
659	4.591592847
660	4.59129055
661	4.590782989
662	4.590472326
663	4.586820936
664	4.586520441
665	4.5851171
